name,rt60_s,peak,rms,tail_crest,density_0_100ms,density_100_300ms,total_energy_db
vst_current,5.16342,0.152964,0.00422218,37.7322,280,375,5.34374
vst_A_tank_diffusion,5.18863,0.112582,0.00454896,22.5465,920,535,5.99126
vst_B_tank_init,5.27621,0.129688,0.00468808,24.0741,920,470,6.25291
vst_C_modshape,5.27621,0.129688,0.00468808,24.0741,920,470,6.25291
web_reference_default,5.27621,0.129688,0.00468808,24.0741,920,470,6.25291
diffusion_0.0,5.71204,0.174825,0.0043611,41.9401,280,335,5.62492
diffusion_0.7,5.27621,0.129688,0.00468808,24.0741,920,470,6.25291
decay_0.250000,3.76063,0.129688,0.00257684,51.5079,920,470,1.05475
decay_0.500000,5.567,0.129688,0.002914,40.6118,920,470,2.12281
decay_0.877465,5.27621,0.129688,0.00468808,24.0741,920,470,6.25291
decay_1.000000,3.29283,0.129688,0.0065789,18.6405,920,470,9.19608
