freq_hz,vst_design8k_db,web_design48k_db
20,4.99999,4.99271
21,4.99999,4.99115
22.05,4.99999,4.98926
23.1525,4.99999,4.98696
24.3101,4.99998,4.98417
25.5256,4.99998,4.98078
26.8019,4.99998,4.97667
28.142,4.99997,4.97168
29.5491,4.99997,4.96562
31.0266,4.99996,4.95826
32.5779,4.99995,4.94933
34.2068,4.99994,4.93851
35.9171,4.99993,4.92539
37.713,4.99992,4.90948
39.5986,4.9999,4.89022
41.5786,4.99989,4.86691
43.6575,4.99986,4.83873
45.8404,4.99983,4.80468
48.1324,4.9998,4.7636
50.539,4.99976,4.71412
53.066,4.99971,4.65463
55.7193,4.99965,4.58324
58.5052,4.99957,4.49779
61.4305,4.99948,4.39584
64.502,4.99937,4.27461
67.7271,4.99924,4.13105
71.1135,4.99908,3.96185
74.6691,4.99889,3.7635
78.4026,4.99865,3.53243
82.3227,4.99837,3.26508
86.4388,4.99802,2.95814
90.7608,4.9976,2.60871
95.2988,4.99709,2.21455
100.064,4.99647,1.77428
105.067,4.99572,1.28767
110.32,4.9948,0.755725
115.836,4.99369,0.180921
121.628,4.99234,-0.432783
127.71,4.9907,-1.07991
134.095,4.98872,-1.75359
140.8,4.9863,-2.44568
147.84,4.98337,-3.14712
155.232,4.97981,-3.84822
162.993,4.97548,-4.5392
171.143,4.97024,-5.21057
179.7,4.96387,-5.85368
188.685,4.95614,-6.4611
198.119,4.94676,-7.02696
208.025,4.93538,-7.54716
218.427,4.92159,-8.01935
229.348,4.90489,-8.44289
240.815,4.88466,-8.81863
252.856,4.86018,-9.14862
265.499,4.83058,-9.4358
278.774,4.79484,-9.68369
292.713,4.75173,-9.89615
307.348,4.69982,-10.0771
322.716,4.63743,-10.2304
338.851,4.56261,-10.3596
355.794,4.47312,-10.4681
373.584,4.36642,-10.5589
392.263,4.23966,-10.6347
411.876,4.0897,-10.6978
432.47,3.91319,-10.7503
454.093,3.70656,-10.7938
476.798,3.46622,-10.8298
500.638,3.18864,-10.8596
525.67,2.8706,-10.8842
551.953,2.50931,-10.9046
579.551,2.10274,-10.9214
608.529,1.64976,-10.9352
638.955,1.15044,-10.9466
670.903,0.60615,-10.956
704.448,0.0197428,-10.9638
739.67,-0.604419,-10.9702
776.654,-1.26047,-10.9755
815.486,-1.94116,-10.9798
856.261,-2.63806,-10.9834
899.074,-3.34184,-10.9863
944.027,-4.04272,-10.9887
991.229,-4.73088,-10.9907
1040.79,-5.39695,-10.9924
1092.83,-6.03251,-10.9937
1147.47,-6.63048,-10.9948
1204.84,-7.18542,-10.9957
1265.09,-7.69364,-10.9965
1328.34,-8.15328,-10.9971
1394.76,-8.56412,-10.9976
1464.5,-8.92737,-10.998
1537.72,-9.24537,-10.9984
1614.61,-9.52128,-10.9987
1695.34,-9.75878,-10.9989
1780.1,-9.96179,-10.9991
1869.11,-10.1342,-10.9993
1962.57,-10.28,-10.9994
2060.69,-10.4026,-10.9995
2163.73,-10.5053,-10.9996
2271.91,-10.591,-10.9997
2385.51,-10.6624,-10.9997
2504.79,-10.7218,-10.9998
2630.03,-10.7709,-10.9998
2761.53,-10.8116,-10.9998
2899.6,-10.8452,-10.9999
3044.58,-10.873,-10.9999
3196.81,-10.8958,-10.9999
3356.65,-10.9147,-10.9999
3524.49,-10.9301,-10.9999
3700.71,-10.9429,-10.9999
3885.74,-10.9533,-11
4080.03,-10.9619,-11
4284.03,-10.9689,-11
4498.24,-10.9747,-11
4723.15,-10.9794,-11
4959.3,-10.9833,-11
5207.27,-10.9864,-11
5467.63,-10.989,-11
5741.02,-10.9911,-11
6028.07,-10.9928,-11
6329.47,-10.9942,-11
6645.94,-10.9954,-11
6978.24,-10.9963,-11
7327.15,-10.997,-11
7693.51,-10.9976,-11
8078.18,-10.9981,-11
8482.09,-10.9985,-11
8906.2,-10.9988,-11
9351.51,-10.9991,-11
9819.08,-10.9993,-11
10310,-10.9995,-11
10825.5,-10.9996,-11
11366.8,-10.9997,-11
11935.2,-10.9998,-11
12531.9,-10.9998,-11
13158.5,-10.9999,-11
13816.4,-10.9999,-11
14507.3,-10.9999,-11
15232.6,-11,-11
15994.3,-11,-11
16794,-11,-11
17633.7,-11,-11
18515.3,-11,-11
19441.1,-11,-11
