model,host,size,kind,name,samples,ms
legacy32k,32000,0,delay,leftApf1,722.556,22.5799
legacy32k,32000,0,delay,leftDelay1,4788.01,149.625
legacy32k,32000,0,delay,leftApf2,1935.42,60.4818
legacy32k,32000,0,delay,leftDelay2,3999.87,124.996
legacy32k,32000,0,delay,rightApf1,976.311,30.5097
legacy32k,32000,0,delay,rightDelay1,4534.26,141.696
legacy32k,32000,0,delay,rightApf2,2855.82,89.2443
legacy32k,32000,0,delay,rightDelay2,3400.96,106.28
legacy32k,32000,0,delay,inApf1,151.608,4.73774
legacy32k,32000,0,delay,inApf2,115.05,3.59531
legacy32k,32000,0,delay,inApf3,407.513,12.7348
legacy32k,32000,0,delay,inApf4,297.839,9.30748
legacy32k,32000,0,tap,L_DELAY1_T1,286,8.9375
legacy32k,32000,0,tap,L_DELAY1_T2,3197,99.9062
legacy32k,32000,0,tap,L_APF2_T,2056,64.25
legacy32k,32000,0,tap,L_DELAY2_T,2146,67.0625
legacy32k,32000,0,tap,R_DELAY1_T,2139,66.8438
legacy32k,32000,0,tap,R_APF2_T,201,6.28125
legacy32k,32000,0,tap,R_DELAY2_T,1146,35.8125
legacy32k,32000,1,delay,leftApf1,1445.11,45.1598
legacy32k,32000,1,delay,leftDelay1,9576.02,299.251
legacy32k,32000,1,delay,leftApf2,3870.84,120.964
legacy32k,32000,1,delay,leftDelay2,7999.73,249.992
legacy32k,32000,1,delay,rightApf1,1952.62,61.0195
legacy32k,32000,1,delay,rightDelay1,9068.51,283.391
legacy32k,32000,1,delay,rightApf2,5711.64,178.489
legacy32k,32000,1,delay,rightDelay2,6801.92,212.56
legacy32k,32000,1,delay,inApf1,151.608,4.73774
legacy32k,32000,1,delay,inApf2,115.05,3.59531
legacy32k,32000,1,delay,inApf3,407.513,12.7348
legacy32k,32000,1,delay,inApf4,297.839,9.30748
legacy32k,32000,1,tap,L_DELAY1_T1,286,8.9375
legacy32k,32000,1,tap,L_DELAY1_T2,3197,99.9062
legacy32k,32000,1,tap,L_APF2_T,2056,64.25
legacy32k,32000,1,tap,L_DELAY2_T,2146,67.0625
legacy32k,32000,1,tap,R_DELAY1_T,2139,66.8438
legacy32k,32000,1,tap,R_APF2_T,201,6.28125
legacy32k,32000,1,tap,R_DELAY2_T,1146,35.8125
legacy32k,32000,2,delay,leftApf1,2890.23,90.3195
legacy32k,32000,2,delay,leftDelay1,19152,598.501
legacy32k,32000,2,delay,leftApf2,7741.68,241.927
legacy32k,32000,2,delay,leftDelay2,15999.5,499.983
legacy32k,32000,2,delay,rightApf1,3905.25,122.039
legacy32k,32000,2,delay,rightDelay1,18137,566.782
legacy32k,32000,2,delay,rightApf2,11423.3,356.977
legacy32k,32000,2,delay,rightDelay2,13603.8,425.12
legacy32k,32000,2,delay,inApf1,151.608,4.73774
legacy32k,32000,2,delay,inApf2,115.05,3.59531
legacy32k,32000,2,delay,inApf3,407.513,12.7348
legacy32k,32000,2,delay,inApf4,297.839,9.30748
legacy32k,32000,2,tap,L_DELAY1_T1,286,8.9375
legacy32k,32000,2,tap,L_DELAY1_T2,3197,99.9062
legacy32k,32000,2,tap,L_APF2_T,2056,64.25
legacy32k,32000,2,tap,L_DELAY2_T,2146,67.0625
legacy32k,32000,2,tap,R_DELAY1_T,2139,66.8438
legacy32k,32000,2,tap,R_APF2_T,201,6.28125
legacy32k,32000,2,tap,R_DELAY2_T,1146,35.8125
legacy32k,44100,0,delay,leftApf1,722.556,16.3845
legacy32k,44100,0,delay,leftDelay1,4788.01,108.572
legacy32k,44100,0,delay,leftApf2,1935.42,43.8871
legacy32k,44100,0,delay,leftDelay2,3999.87,90.6999
legacy32k,44100,0,delay,rightApf1,976.311,22.1386
legacy32k,44100,0,delay,rightDelay1,4534.26,102.818
legacy32k,44100,0,delay,rightApf2,2855.82,64.7578
legacy32k,44100,0,delay,rightDelay2,3400.96,77.1193
legacy32k,44100,0,delay,inApf1,208.935,4.73774
legacy32k,44100,0,delay,inApf2,158.553,3.59531
legacy32k,44100,0,delay,inApf3,561.604,12.7348
legacy32k,44100,0,delay,inApf4,410.46,9.30748
legacy32k,44100,0,tap,L_DELAY1_T1,286,6.48526
legacy32k,44100,0,tap,L_DELAY1_T2,3197,72.4943
legacy32k,44100,0,tap,L_APF2_T,2056,46.6213
legacy32k,44100,0,tap,L_DELAY2_T,2146,48.6621
legacy32k,44100,0,tap,R_DELAY1_T,2139,48.5034
legacy32k,44100,0,tap,R_APF2_T,201,4.55782
legacy32k,44100,0,tap,R_DELAY2_T,1146,25.9864
legacy32k,44100,1,delay,leftApf1,1445.11,32.769
legacy32k,44100,1,delay,leftDelay1,9576.02,217.143
legacy32k,44100,1,delay,leftApf2,3870.84,87.7741
legacy32k,44100,1,delay,leftDelay2,7999.73,181.4
legacy32k,44100,1,delay,rightApf1,1952.62,44.2772
legacy32k,44100,1,delay,rightDelay1,9068.51,205.635
legacy32k,44100,1,delay,rightApf2,5711.64,129.516
legacy32k,44100,1,delay,rightDelay2,6801.92,154.239
legacy32k,44100,1,delay,inApf1,208.935,4.73774
legacy32k,44100,1,delay,inApf2,158.553,3.59531
legacy32k,44100,1,delay,inApf3,561.604,12.7348
legacy32k,44100,1,delay,inApf4,410.46,9.30748
legacy32k,44100,1,tap,L_DELAY1_T1,286,6.48526
legacy32k,44100,1,tap,L_DELAY1_T2,3197,72.4943
legacy32k,44100,1,tap,L_APF2_T,2056,46.6213
legacy32k,44100,1,tap,L_DELAY2_T,2146,48.6621
legacy32k,44100,1,tap,R_DELAY1_T,2139,48.5034
legacy32k,44100,1,tap,R_APF2_T,201,4.55782
legacy32k,44100,1,tap,R_DELAY2_T,1146,25.9864
legacy32k,44100,2,delay,leftApf1,2890.23,65.538
legacy32k,44100,2,delay,leftDelay1,19152,434.287
legacy32k,44100,2,delay,leftApf2,7741.68,175.548
legacy32k,44100,2,delay,leftDelay2,15999.5,362.8
legacy32k,44100,2,delay,rightApf1,3905.25,88.5543
legacy32k,44100,2,delay,rightDelay1,18137,411.27
legacy32k,44100,2,delay,rightApf2,11423.3,259.031
legacy32k,44100,2,delay,rightDelay2,13603.8,308.477
legacy32k,44100,2,delay,inApf1,208.935,4.73774
legacy32k,44100,2,delay,inApf2,158.553,3.59531
legacy32k,44100,2,delay,inApf3,561.604,12.7348
legacy32k,44100,2,delay,inApf4,410.46,9.30748
legacy32k,44100,2,tap,L_DELAY1_T1,286,6.48526
legacy32k,44100,2,tap,L_DELAY1_T2,3197,72.4943
legacy32k,44100,2,tap,L_APF2_T,2056,46.6213
legacy32k,44100,2,tap,L_DELAY2_T,2146,48.6621
legacy32k,44100,2,tap,R_DELAY1_T,2139,48.5034
legacy32k,44100,2,tap,R_APF2_T,201,4.55782
legacy32k,44100,2,tap,R_DELAY2_T,1146,25.9864
legacy32k,48000,0,delay,leftApf1,722.556,15.0533
legacy32k,48000,0,delay,leftDelay1,4788.01,99.7502
