model,host,lfo,target_hz,measured_hz,error_pct,excursion_samples,excursion_ms
legacy32k,32000,lfo1_min,0.03,0.03,-1.42583e-09,8.60186,0.268808
legacy32k,32000,lfo2_min,0.045,0.045,1.55508e-10,8.60186,0.268808
legacy32k,32000,lfo3_min,0.036,0.036,1.76535e-09,8.60186,0.268808
legacy32k,32000,lfo4_min,0.054,0.054,-9.27949e-10,8.60186,0.268808
legacy32k,32000,lfo1_default,0.0999,0.0999,-5.66822e-10,8.60186,0.268808
legacy32k,32000,lfo2_default,0.14985,0.14985,-1.87538e-10,8.60186,0.268808
legacy32k,32000,lfo3_default,0.11988,0.11988,-1.8234e-10,8.60186,0.268808
legacy32k,32000,lfo4_default,0.17982,0.17982,-1.8726e-10,8.60186,0.268808
legacy32k,32000,lfo1_mid,0.78,0.78,-5.47852e-11,8.60186,0.268808
legacy32k,32000,lfo2_mid,1.17,1.17,-6.6936e-11,8.60186,0.268808
legacy32k,32000,lfo3_mid,0.936,0.936,-4.68524e-11,8.60186,0.268808
legacy32k,32000,lfo4_mid,1.404,1.404,4.47094e-11,8.60186,0.268808
legacy32k,32000,lfo1_max,1.53,1.53,-2.61374e-11,8.60186,0.268808
legacy32k,32000,lfo2_max,2.295,2.295,6.3856e-12,8.60186,0.268808
legacy32k,32000,lfo3_max,1.836,1.836,3.35244e-11,8.60186,0.268808
legacy32k,32000,lfo4_max,2.754,2.754,-1.27712e-11,8.60186,0.268808
legacy32k,44100,lfo1_min,0.03,0.0413437,37.8125,8.60186,0.195054
legacy32k,44100,lfo2_min,0.045,0.0620156,37.8125,8.60186,0.195054
legacy32k,44100,lfo3_min,0.036,0.0496125,37.8125,8.60186,0.195054
legacy32k,44100,lfo4_min,0.054,0.0744187,37.8125,8.60186,0.195054
legacy32k,44100,lfo1_default,0.0999,0.137675,37.8125,8.60186,0.195054
legacy32k,44100,lfo2_default,0.14985,0.206512,37.8125,8.60186,0.195054
legacy32k,44100,lfo3_default,0.11988,0.16521,37.8125,8.60186,0.195054
legacy32k,44100,lfo4_default,0.17982,0.247814,37.8125,8.60186,0.195054
legacy32k,44100,lfo1_mid,0.78,1.07494,37.8125,8.60186,0.195054
legacy32k,44100,lfo2_mid,1.17,1.61241,37.8125,8.60186,0.195054
legacy32k,44100,lfo3_mid,0.936,1.28992,37.8125,8.60186,0.195054
legacy32k,44100,lfo4_mid,1.404,1.93489,37.8125,8.60186,0.195054
legacy32k,44100,lfo1_max,1.53,2.10853,37.8125,8.60186,0.195054
legacy32k,44100,lfo2_max,2.295,3.1628,37.8125,8.60186,0.195054
legacy32k,44100,lfo3_max,1.836,2.53024,37.8125,8.60186,0.195054
legacy32k,44100,lfo4_max,2.754,3.79536,37.8125,8.60186,0.195054
legacy32k,48000,lfo1_min,0.03,0.045,50,8.60186,0.179205
legacy32k,48000,lfo2_min,0.045,0.0675,50,8.60186,0.179205
legacy32k,48000,lfo3_min,0.036,0.054,50,8.60186,0.179205
legacy32k,48000,lfo4_min,0.054,0.081,50,8.60186,0.179205
legacy32k,48000,lfo1_default,0.0999,0.14985,50,8.60186,0.179205
legacy32k,48000,lfo2_default,0.14985,0.224775,50,8.60186,0.179205
legacy32k,48000,lfo3_default,0.11988,0.17982,50,8.60186,0.179205
legacy32k,48000,lfo4_default,0.17982,0.26973,50,8.60186,0.179205
legacy32k,48000,lfo1_mid,0.78,1.17,50,8.60186,0.179205
legacy32k,48000,lfo2_mid,1.17,1.755,50,8.60186,0.179205
legacy32k,48000,lfo3_mid,0.936,1.404,50,8.60186,0.179205
legacy32k,48000,lfo4_mid,1.404,2.106,50,8.60186,0.179205
legacy32k,48000,lfo1_max,1.53,2.295,50,8.60186,0.179205
legacy32k,48000,lfo2_max,2.295,3.4425,50,8.60186,0.179205
legacy32k,48000,lfo3_max,1.836,2.754,50,8.60186,0.179205
legacy32k,48000,lfo4_max,2.754,4.131,50,8.60186,0.179205
legacy32k,88200,lfo1_min,0.03,0.0826875,175.625,8.60186,0.0975268
legacy32k,88200,lfo2_min,0.045,0.124031,175.625,8.60186,0.0975268
legacy32k,88200,lfo3_min,0.036,0.099225,175.625,8.60186,0.0975268
legacy32k,88200,lfo4_min,0.054,0.148837,175.625,8.60186,0.0975268
legacy32k,88200,lfo1_default,0.0999,0.275349,175.625,8.60186,0.0975268
legacy32k,88200,lfo2_default,0.14985,0.413024,175.625,8.60186,0.0975268
legacy32k,88200,lfo3_default,0.11988,0.330419,175.625,8.60186,0.0975268
legacy32k,88200,lfo4_default,0.17982,0.495629,175.625,8.60186,0.0975268
legacy32k,88200,lfo1_mid,0.78,2.14987,175.625,8.60186,0.0975268
legacy32k,88200,lfo2_mid,1.17,3.22481,175.625,8.60186,0.0975268
legacy32k,88200,lfo3_mid,0.936,2.57985,175.625,8.60186,0.0975268
legacy32k,88200,lfo4_mid,1.404,3.86978,175.625,8.60186,0.0975268
legacy32k,88200,lfo1_max,1.53,4.21706,175.625,8.60186,0.0975268
legacy32k,88200,lfo2_max,2.295,6.32559,175.625,8.60186,0.0975268
legacy32k,88200,lfo3_max,1.836,5.06048,175.625,8.60186,0.0975268
legacy32k,88200,lfo4_max,2.754,7.59071,175.625,8.60186,0.0975268
legacy32k,96000,lfo1_min,0.03,0.09,200,8.60186,0.0896027
legacy32k,96000,lfo2_min,0.045,0.135,200,8.60186,0.0896027
legacy32k,96000,lfo3_min,0.036,0.108,200,8.60186,0.0896027
legacy32k,96000,lfo4_min,0.054,0.162,200,8.60186,0.0896027
legacy32k,96000,lfo1_default,0.0999,0.2997,200,8.60186,0.0896027
legacy32k,96000,lfo2_default,0.14985,0.44955,200,8.60186,0.0896027
legacy32k,96000,lfo3_default,0.11988,0.35964,200,8.60186,0.0896027
legacy32k,96000,lfo4_default,0.17982,0.53946,200,8.60186,0.0896027
legacy32k,96000,lfo1_mid,0.78,2.34,200,8.60186,0.0896027
legacy32k,96000,lfo2_mid,1.17,3.51,200,8.60186,0.0896027
legacy32k,96000,lfo3_mid,0.936,2.808,200,8.60186,0.0896027
legacy32k,96000,lfo4_mid,1.404,4.212,200,8.60186,0.0896027
legacy32k,96000,lfo1_max,1.53,4.59,200,8.60186,0.0896027
legacy32k,96000,lfo2_max,2.295,6.885,200,8.60186,0.0896027
legacy32k,96000,lfo3_max,1.836,5.508,200,8.60186,0.0896027
legacy32k,96000,lfo4_max,2.754,8.262,200,8.60186,0.0896027
legacy32k,192000,lfo1_min,0.03,0.18,500,8.60186,0.0448014
legacy32k,192000,lfo2_min,0.045,0.27,500,8.60186,0.0448014
legacy32k,192000,lfo3_min,0.036,0.216,500,8.60186,0.0448014
legacy32k,192000,lfo4_min,0.054,0.324,500,8.60186,0.0448014
legacy32k,192000,lfo1_default,0.0999,0.5994,500,8.60186,0.0448014
legacy32k,192000,lfo2_default,0.14985,0.8991,500,8.60186,0.0448014
legacy32k,192000,lfo3_default,0.11988,0.71928,500,8.60186,0.0448014
legacy32k,192000,lfo4_default,0.17982,1.07892,500,8.60186,0.0448014
legacy32k,192000,lfo1_mid,0.78,4.68,500,8.60186,0.0448014
legacy32k,192000,lfo2_mid,1.17,7.02,500,8.60186,0.0448014
legacy32k,192000,lfo3_mid,0.936,5.616,500,8.60186,0.0448014
legacy32k,192000,lfo4_mid,1.404,8.424,500,8.60186,0.0448014
legacy32k,192000,lfo1_max,1.53,9.18,500,8.60186,0.0448014
legacy32k,192000,lfo2_max,2.295,13.77,500,8.60186,0.0448014
legacy32k,192000,lfo3_max,1.836,11.016,500,8.60186,0.0448014
legacy32k,192000,lfo4_max,2.754,16.524,500,8.60186,0.0448014
correct,32000,lfo1_min,0.03,0.03,-1.42583e-09,8.60186,0.268808
correct,32000,lfo2_min,0.045,0.045,1.55508e-10,8.60186,0.268808
correct,32000,lfo3_min,0.036,0.036,1.76535e-09,8.60186,0.268808
correct,32000,lfo4_min,0.054,0.054,-9.27949e-10,8.60186,0.268808
correct,32000,lfo1_default,0.0999,0.0999,-5.66822e-10,8.60186,0.268808
correct,32000,lfo2_default,0.14985,0.14985,-1.87538e-10,8.60186,0.268808
correct,32000,lfo3_default,0.11988,0.11988,-1.8234e-10,8.60186,0.268808
correct,32000,lfo4_default,0.17982,0.17982,-1.8726e-10,8.60186,0.268808
correct,32000,lfo1_mid,0.78,0.78,-5.47852e-11,8.60186,0.268808
correct,32000,lfo2_mid,1.17,1.17,-6.6936e-11,8.60186,0.268808
correct,32000,lfo3_mid,0.936,0.936,-4.68524e-11,8.60186,0.268808
correct,32000,lfo4_mid,1.404,1.404,4.47094e-11,8.60186,0.268808
correct,32000,lfo1_max,1.53,1.53,-2.61374e-11,8.60186,0.268808
correct,32000,lfo2_max,2.295,2.295,6.3856e-12,8.60186,0.268808
correct,32000,lfo3_max,1.836,1.836,3.35244e-11,8.60186,0.268808
correct,32000,lfo4_max,2.754,2.754,-1.27712e-11,8.60186,0.268808
correct,44100,lfo1_min,0.03,0.03,2.35143e-09,11.8544,0.268808
correct,44100,lfo2_min,0.045,0.045,1.23779e-09,11.8544,0.268808
correct,44100,lfo3_min,0.036,0.036,-1.46966e-09,11.8544,0.268808
correct,44100,lfo4_min,0.054,0.054,-1.56042e-09,11.8544,0.268808
correct,44100,lfo1_default,0.0999,0.0999,4.98795e-10,11.8544,0.268808
correct,44100,lfo2_default,0.14985,0.14985,4.09823e-10,11.8544,0.268808
correct,44100,lfo3_default,0.11988,0.11988,-8.67095e-10,11.8544,0.268808
correct,44100,lfo4_default,0.17982,0.17982,-3.54454e-10,11.8544,0.268808
correct,44100,lfo1_mid,0.78,0.78,6.15604e-11,11.8544,0.268808
correct,44100,lfo2_mid,1.17,1.17,-2.31534e-11,11.8544,0.268808
correct,44100,lfo3_mid,0.936,0.936,-2.61424e-11,11.8544,0.268808
correct,44100,lfo4_mid,1.404,1.404,-2.37385e-11,11.8544,0.268808
correct,44100,lfo1_max,1.53,1.53,5.45678e-11,11.8544,0.268808
correct,44100,lfo2_max,2.295,2.295,-4.12355e-11,11.8544,0.268808
correct,44100,lfo3_max,1.836,1.836,1.19488e-11,11.8544,0.268808
correct,44100,lfo4_max,2.754,2.754,1.08039e-11,11.8544,0.268808
correct,48000,lfo1_min,0.03,0.03,-2.72847e-09,12.9028,0.268808
correct,48000,lfo2_min,0.045,0.045,-1.42582e-09,12.9028,0.268808
correct,48000,lfo3_min,0.036,0.036,-7.68193e-10,12.9028,0.268808
correct,48000,lfo4_min,0.054,0.054,1.76534e-09,12.9028,0.268808
correct,48000,lfo1_default,0.0999,0.0999,3.12202e-10,12.9028,0.268808
correct,48000,lfo2_default,0.14985,0.14985,-5.66818e-10,12.9028,0.268808
correct,48000,lfo3_default,0.11988,0.11988,4.17514e-10,12.9028,0.268808
correct,48000,lfo4_default,0.17982,0.17982,-1.82336e-10,12.9028,0.268808
correct,48000,lfo1_mid,0.78,0.78,1.44827e-10,12.9028,0.268808
correct,48000,lfo2_mid,1.17,1.17,-5.4771e-11,12.9028,0.268808
correct,48000,lfo3_mid,0.936,0.936,-1.15565e-10,12.9028,0.268808
correct,48000,lfo4_mid,1.404,1.404,-4.68603e-11,12.9028,0.268808
correct,48000,lfo1_max,1.53,1.53,2.92141e-11,12.9028,0.268808
correct,48000,lfo2_max,2.295,2.295,-2.61229e-11,12.9028,0.268808
correct,48000,lfo3_max,1.836,1.836,3.11298e-11,12.9028,0.268808
correct,48000,lfo4_max,2.754,2.754,3.35244e-11,12.9028,0.268808
correct,88200,lfo1_min,0.03,0.03,2.83553e-09,23.7089,0.268808
correct,88200,lfo2_min,0.045,0.045,2.2787e-09,23.7089,0.268808
correct,88200,lfo3_min,0.036,0.036,-1.79503e-09,23.7089,0.268808
correct,88200,lfo4_min,0.054,0.054,2.693e-09,23.7089,0.268808
correct,88200,lfo1_default,0.0999,0.0999,5.36927e-10,23.7089,0.268808
correct,88200,lfo2_default,0.14985,0.14985,-1.14121e-09,23.7089,0.268808
correct,88200,lfo3_default,0.11988,0.11988,6.70829e-10,23.7089,0.268808
correct,88200,lfo4_default,0.17982,0.17982,-4.34238e-10,23.7089,0.268808
correct,88200,lfo1_mid,0.78,0.78,-1.92481e-10,23.7089,0.268808
correct,88200,lfo2_mid,1.17,1.17,-2.56205e-11,23.7089,0.268808
correct,88200,lfo3_mid,0.936,0.936,-2.71151e-11,23.7089,0.268808
correct,88200,lfo4_mid,1.404,1.404,-2.5921e-11,23.7089,0.268808
correct,88200,lfo1_max,1.53,1.53,8.70908e-11,23.7089,0.268808
correct,88200,lfo2_max,2.295,2.295,-6.74745e-11,23.7089,0.268808
correct,88200,lfo3_max,1.836,1.836,1.24326e-11,23.7089,0.268808
correct,88200,lfo4_max,2.754,2.754,-7.70142e-11,23.7089,0.268808
correct,96000,lfo1_min,0.03,0.03,-3.25712e-09,25.8056,0.268808
correct,96000,lfo2_min,0.045,0.045,3.31539e-09,25.8056,0.268808
correct,96000,lfo3_min,0.036,0.036,6.60481e-09,25.8056,0.268808
correct,96000,lfo4_min,0.054,0.054,2.93725e-09,25.8056,0.268808
correct,96000,lfo1_default,0.0999,0.0999,-2.32356e-09,25.8056,0.268808
correct,96000,lfo2_default,0.14985,0.14985,7.93196e-10,25.8056,0.268808
correct,96000,lfo3_default,0.11988,0.11988,-1.38184e-09,25.8056,0.268808
correct,96000,lfo4_default,0.17982,0.17982,-1.99994e-10,25.8056,0.268808
correct,96000,lfo1_mid,0.78,0.78,2.29176e-10,25.8056,0.268808
correct,96000,lfo2_mid,1.17,1.17,-9.83639e-11,25.8056,0.268808
correct,96000,lfo3_mid,0.936,0.936,9.89712e-11,25.8056,0.268808
correct,96000,lfo4_mid,1.404,1.404,1.33322e-10,25.8056,0.268808
correct,96000,lfo1_max,1.53,1.53,-1.36753e-10,25.8056,0.268808
correct,96000,lfo2_max,2.295,2.295,6.78034e-11,25.8056,0.268808
correct,96000,lfo3_max,1.836,1.836,3.83499e-11,25.8056,0.268808
correct,96000,lfo4_max,2.754,2.754,-5.71801e-11,25.8056,0.268808
correct,192000,lfo1_min,0.03,0.03,1.42421e-08,51.6112,0.268808
correct,192000,lfo2_min,0.045,0.045,-6.1564e-09,51.6112,0.268808
correct,192000,lfo3_min,0.036,0.036,-4.51167e-09,51.6112,0.268808
correct,192000,lfo4_min,0.054,0.054,-6.34545e-09,51.6112,0.268808
correct,192000,lfo1_default,0.0999,0.0999,-3.64145e-09,51.6112,0.268808
correct,192000,lfo2_default,0.14985,0.14985,-2.08307e-09,51.6112,0.268808
correct,192000,lfo3_default,0.11988,0.11988,2.1638e-09,51.6112,0.268808
correct,192000,lfo4_default,0.17982,0.17982,-2.08807e-10,51.6112,0.268808
correct,192000,lfo1_mid,0.78,0.78,-4.11879e-10,51.6112,0.268808
correct,192000,lfo2_mid,1.17,1.17,3.35306e-10,51.6112,0.268808
correct,192000,lfo3_mid,0.936,0.936,2.06222e-10,51.6112,0.268808
correct,192000,lfo4_mid,1.404,1.404,-1.56111e-10,51.6112,0.268808
correct,192000,lfo1_max,1.53,1.53,-2.19752e-10,51.6112,0.268808
correct,192000,lfo2_max,2.295,2.295,1.14728e-10,51.6112,0.268808
correct,192000,lfo3_max,1.836,1.836,-2.48276e-10,51.6112,0.268808
correct,192000,lfo4_max,2.754,2.754,-1.02573e-10,51.6112,0.268808
invariant,32000,lfo1_min,0.03,0.045,50,5.73457,0.179205
invariant,32000,lfo2_min,0.045,0.0675,50,5.73457,0.179205
invariant,32000,lfo3_min,0.036,0.054,50,5.73457,0.179205
invariant,32000,lfo4_min,0.054,0.081,50,5.73457,0.179205
invariant,32000,lfo1_default,0.0999,0.14985,50,5.73457,0.179205
invariant,32000,lfo2_default,0.14985,0.224775,50,5.73457,0.179205
invariant,32000,lfo3_default,0.11988,0.17982,50,5.73457,0.179205
invariant,32000,lfo4_default,0.17982,0.26973,50,5.73457,0.179205
invariant,32000,lfo1_mid,0.78,1.17,50,5.73457,0.179205
invariant,32000,lfo2_mid,1.17,1.755,50,5.73457,0.179205
invariant,32000,lfo3_mid,0.936,1.404,50,5.73457,0.179205
invariant,32000,lfo4_mid,1.404,2.106,50,5.73457,0.179205
invariant,32000,lfo1_max,1.53,2.295,50,5.73457,0.179205
invariant,32000,lfo2_max,2.295,3.4425,50,5.73457,0.179205
invariant,32000,lfo3_max,1.836,2.754,50,5.73457,0.179205
invariant,32000,lfo4_max,2.754,4.131,50,5.73457,0.179205
invariant,44100,lfo1_min,0.03,0.045,50,7.90296,0.179205
