model,host,size,decay,onset_ms,density_0_50,density_0_100,density_100_500,crest,rms_tail,peak,rt20,rt30,rt60,centroid_hz,energy_db
legacy32k,32000,0,0.5,0,960,830,352.5,39.5791,0.0030061,0.183589,2.00053,2.04188,2.04188,5237.61,2.94521
legacy32k,32000,0,0.877465,0,960,830,815,20.0911,0.00592196,0.183589,8.10187,6.59187,6.59187,5472.36,7.17602
legacy32k,32000,0,0.95,0,960,830,870,15.1022,0.00811434,0.183589,8.20191,5.60712,5.60712,5494.14,9.5711
legacy32k,32000,1,0.5,0,980,810,407.5,39.9686,0.00301997,0.154088,4.18575,4.15925,4.15925,4343.3,2.6676
legacy32k,32000,1,0.877465,0,980,810,590,21.3573,0.00565167,0.154088,8.35369,5.79931,5.79931,4343.3,6.71758
legacy32k,32000,1,0.95,0,980,810,622.5,16.8129,0.00719127,0.154088,6.7485,4.57613,4.57613,4343.3,8.55155
legacy32k,32000,2,0.5,0,1000,690,327.5,36.4762,0.00331614,0.148203,8.01262,6.88956,6.88956,5487.2,2.90979
legacy32k,32000,2,0.877465,0,1000,690,327.5,21.7932,0.00555039,0.148203,7.10419,4.81106,4.81106,5487.2,6.46063
legacy32k,32000,2,0.95,0,1000,690,327.5,19.4558,0.00644082,0.148203,5.79628,3.90644,3.90644,5487.2,7.60352
legacy32k,44100,0,0.5,0,1220,1000,350,32.673,0.00213093,0.133221,1.48639,1.5024,1.5024,6580.08,2.32053
legacy32k,44100,0,0.877465,0,1220,1000,1050,24.5486,0.00469934,0.133221,6.55218,6.19483,6.19483,6680.7,6.74263
legacy32k,44100,0,0.95,0,1220,1000,1160,18.5125,0.00670635,0.133221,8.60435,6.02385,6.02385,6687.27,9.37547
legacy32k,44100,1,0.5,0,960,980,340,29.7818,0.00221441,0.138213,3.07102,3.04168,3.04168,5410.54,2.09801
legacy32k,44100,1,0.877465,0,960,980,725,23.5349,0.00458158,0.138213,8.60088,6.21868,6.21868,5735.71,6.42259
legacy32k,44100,1,0.95,0,960,980,787.5,18.9737,0.00615719,0.138213,7.24442,4.92943,4.92943,5796.38,8.63204
legacy32k,44100,2,0.5,0,920,950,345,38.6906,0.0024176,0.133221,6.11592,5.96304,5.96304,5979.92,2.29045
legacy32k,44100,2,0.877465,0,920,950,417.5,22.2873,0.00456945,0.133221,7.56918,5.16735,5.16735,5979.92,6.31484
legacy32k,44100,2,0.95,0,920,950,422.5,19.8318,0.00557709,0.133221,6.10306,4.12971,4.12971,5979.92,7.80953
legacy32k,48000,0,0.5,0,1220,1080,332.5,34.5963,0.00190143,0.129688,1.35844,1.38437,1.38437,6943.9,2.13239
legacy32k,48000,0,0.877465,0,1220,1080,1085,25.1129,0.00438999,0.129688,6.07606,5.94325,5.94325,6980.91,6.59944
legacy32k,48000,0,0.95,0,1220,1080,1205,18.7455,0.00633696,0.129688,8.63687,6.12004,6.12004,6978.92,9.28465
legacy32k,48000,1,0.5,0,1000,940,385,29.317,0.00202823,0.129688,2.82081,2.79125,2.79125,5894.01,1.95142
legacy32k,48000,1,0.877465,0,1000,940,795,23.9989,0.00431473,0.129688,8.58906,6.30446,6.30446,6286.53,6.31672
legacy32k,48000,1,0.95,0,1000,940,875,19.0447,0.00588198,0.129688,7.41038,5.03562,5.03562,6343.81,8.61765
legacy32k,48000,2,0.5,0,900,920,347.5,40.6118,0.00224027,0.129688,5.63963,5.567,5.567,6508.63,2.12281
legacy32k,48000,2,0.877465,0,900,920,460,24.0741,0.00434181,0.129688,7.73075,5.27621,5.27621,6508.63,6.25291
legacy32k,48000,2,0.95,0,900,920,482.5,21.0436,0.00537205,0.129688,6.19525,4.18196,4.18196,6508.63,7.84847
legacy32k,88200,0,0.5,0,1500,1280,205,33.5988,0.00104972,0.102244,0.742109,0.756961,0.756961,9687.38,1.87302
legacy32k,88200,0,0.877465,0,1500,1320,1120,19.4845,0.00293336,0.102244,3.35099,3.46392,3.46392,10389.5,6.36446
legacy32k,88200,0,0.95,0,1500,1320,1417.5,13.9954,0.00444703,0.106867,7.54721,6.55234,6.55234,10514.4,9.15226
